2581
JOHN  JHEFERSON 1.08
EVELIN ETHYL  5.53
ETHELENE ESTELL  0.13
ESTA ERMINIA  7.00
ERMELINDA ERLINE  7.58
ERLENE ERINN  5.22
EPIFANIA ENOLA  9.03
ENEIDA EMMY  2.01
EMMIE EMILEE  3.32
EMIKO EMELDA  8.56
EMA ELVINA  6.18
ELVIE ELSE  7.72
ELOIS ELODIA  1.99
ELLYN ELLY  0.43
ELKE ELIZBETH  9.51
ELICIA ELIANA  9.97
ELENORA ELENI  0.17
ELEASE ELAYNE  1.94
ELANOR EDDA  1.57
ECHO EARLEEN  2.87
EARLEAN DYAN  9.76
DUNG DRUSILLA  6.61
DRUCILLA DREMA  8.46
DREAMA DOT  4.73
DORINE DORIE  1.12
DORATHY DONYA  3.73
DONETTA DOMONIQUE  4.65
DOMINQUE DOLORIS  7.29
DIONNA DIONE  4.21
DIMPLE DIGNA  3.22
DIEDRE DIEDRA  7.59
DIAMOND DEVORAH  7.53
DEVORA DEVONA  6.81
DETRA DESIRE  1.56
DENNISE DENITA  6.53
DENISHA DENESE  2.06
DEMETRICE DELTA  0.06
DELPHA DELL  1.80
DELISA DELINDA  3.54
DELICIA DELENA  9.16
DELANA DEEANN  6.35
DEBROAH DEBBI  6.47
DEANE DEANDRA  7.47
DAYLE DAWNE  8.87
DARBY DAPHINE  7.97
DANUTA DANNETTE  0.82
DANIKA DANIA  3.87
DANAE DALILA  8.43
DAISEY DAHLIA  7.32
DAGMAR CRISTIE  0.09
CRISTEN CRISTA  2.87
CRISSY CRISELDA  1.41
CORLISS CORIE  7.30
CORETTA COREEN  0.92
CORDIE CONSUELA  6.62
CONCHITA COLLEN  1.43
COLETTA CLOTILDE  9.94
CLEORA CLEOPATRA  7.40
CLEMMIE CLEMENTINA  4.17
CLARITA CLARINE  4.39
CIERA CICELY  7.02
CHRISTENA CHRISTEEN  4.47
CHIN CHERYLL  7.51
CHERRYL CHERISH  0.31
CHAYA CHAU  2.49
CHARISE CHANTELL  3.40
CHANTE CELINE  5.31
CELESTINA CELENA  2.33
CECILA CATHEY  0.66
CATERINA CATARINA  8.75
CASIE CAROLYNE  7.13
CARMON CARMELINA  7.15
CARLINE CARLIE  9.75
CARLEY CARLETTA  7.04
CARISA CARIE  3.27
CAPRICE CANDYCE  6.02
CANDIE CAMMIE  7.04
CAMELIA BRYNN  1.60
BRUNILDA BRONWYN  4.01
BRITTNI BRITNI  6.07
BRITANY BRINDA  6.21
BRIGIDA BRIGID  3.66
BRANDA BLYTHE  8.45
BIRGIT BILLYE  2.70
BEVERLEE BEV  5.03
BETSEY BETHEL  9.48
BETHANN BERNETTA  5.97
BERNEICE BELIA  3.94
BECKIE BARBERA  5.11
BARBAR BABETTE  3.64
BABARA AZUCENA  8.55
AYANNA AYANA  4.54
AVELINA AUNDREA  9.63
AUGUSTINA AUDREA  1.97
AUDIE ASUNCION  8.92
ASSUNTA ASHLYN  8.17
ASHLI ARVILLA  0.41
ARNITA ARNETTA  2.78
ARMINDA ARMANDA  1.98
ARLETTA ARLENA  3.95
ARLA ARIE  9.66
ARIANNA ARIANE  7.33
ARDELLA ARDELL  4.51
ARACELIS APRYL  4.31
ANYA ANTONIETTA  5.61
ANNIS ANNICE  5.53
ANNETT ANNAMAE  1.89
ANNALISA ANNALEE  2.04
ANNABELL ANJANETTE  3.88
ANGLE ANGELIKA  7.71
ANGELIC ANGELES  9.89
ANGELENA ANGELE  9.48
ANETTE ANDREE  1.70
AMMIE AMINA  9.74
ALYSHA ALYSE  0.71
ALVERA ALTHA  1.58
ALMETA ALLINE  8.19
ALLEGRA ALLA  7.85
ALIZA ALIX  1.93
ALISIA ALISHIA  0.84
ALISE ALICA  4.67
ALIA ALETHIA  1.65
ALEJANDRINA ALEIDA  0.16
ALBERTINA AKIKO  7.26
ADRIENE ADALINE  5.22
ZONIA ZETTA  9.35
ZENIA ZANA  7.12
ZADA YVONE  7.82
YURIKO YURI  3.76
YUONNE YUNG  3.57
YULANDA YUKI  3.06
YUK YUETTE  5.57
YOULANDA YOSHIE  9.43
YON YEVETTE  3.25
YESSENIA YER  8.40
YELENA YASUKO  9.21
YASMINE YAJAIRA  3.77
YAHAIRA YAEL  8.10
YAEKO XUAN  7.57
XOCHITL XIAO  0.65
XENIA WYNELL  2.22
WINTER WILLOW  9.54
WILLODEAN WILLIEMAE  4.49
WILLETTA WILLENA  7.01
WILHEMINA WHITLEY  4.51
WENONA WENDOLYN  3.44
WENDIE WEN  6.82
WAVA WANETTA  3.07
WANETA WAN  6.24
VONCILE VIRGEN  7.90
VINITA VIKI  2.42
VICTORINA VI  9.78
VERTIE VERONIQUE  8.07
VERONIKA VERNIA  1.75
VERLINE VENNIE  2.31
VENETTA VASILIKI  8.38
VASHTI VANNESA  1.94
VANNA VANIA  9.58
VANETTA VALRIE  7.12
VALERI VALENE  5.81
UTE UN  2.47
ULRIKE ULA  2.13
TYNISHA TYISHA  7.28
TWANNA TWANDA  5.16
TULA TU  2.62
TRINH TREENA  6.24
TREASA TRAN  4.80
TOVA TOSHIA  7.89
TORRIE TORRI  4.93
TORIE TORA  3.55
TONITA TONISHA  1.36
TONETTE TONA  0.02
TOMMYE TOMIKO  2.34
TOMI TOI  4.45
TOCCARA TOBIE  3.60
TOBI TISH  1.66
TISA TINISHA  0.04
TIMIKA TILDA  5.71
TIJUANA TIFFANEY  2.60
TIFANY TIERA  4.86
TIEN THORA  7.53
THOMASENA THI  6.15
THERESSA TERRILYN  1.41
TERISA TERINA  6.47
TERICA TERESIA  6.08
TEOFILA TENESHA  4.54
TEMPLE TEMPIE  1.98
TEMIKA TELMA  5.83
TEISHA TEGAN  3.45
TAYNA TAWNA  7.07
TAUNYA TATYANA  6.67
TATUM TASIA  8.27
TASHINA TARRA  4.81
TARI TAREN  9.93
TANEKA TANDY  5.56
TANDRA TAMMERA  3.80
TAMISHA TAMBRA  3.67
TAMA TAKAKO  7.89
TAJUANA TAISHA  0.32
TAINA TAI  9.12
TA SYLVIE  8.31
SVETLANA SUZI  5.99
SUSY SUNNI  3.13
SUNDAY SUMIKO  7.14
SULEMA SUANNE  8.54
STEPHNIE STEPHANIA  8.17
STEPANIE STEFANY  6.93
STASIA STACEE  4.82
SPARKLE SONA  9.09
SOMER SOILA  6.85
SIXTA SIU  3.29
SIRENA SINA  0.91
SIMONNE SIMA  8.02
SHYLA SHONTA  1.06
SHONDRA SHIZUKO  0.85
SHIZUE SHIRL  2.73
SHIRELY SHIN  3.04
SHILOH SHILA  4.60
SHERYLL SHERRIL  1.97
SHERLENE SHERISE  8.60
SHERILL SHERIKA  3.10
SHERIDAN SHERICE  2.00
SHERELL SHERA  3.45
SHENNA SHENIKA  3.89
SHEMEKA SHELLA  0.00
SHEBA SHAWNTA  1.44
SHAWANNA SHAVONDA  5.23
SHAUNTE SHAUNTA  7.18
SHAUNDA SHARRI  6.63
SHAROLYN SHARMAINE  6.45
SHARILYN SHARIKA  2.65
SHARIE SHARICE  8.61
SHARELL SHARDA  3.98
SHARAN SHAQUITA  6.63
SHAQUANA SHANTI  6.16
SHANTELLE SHANTAY  1.92
SHANTAE SHANIQUA  0.95
SHANEL SHANDI  5.20
SHANAE SHAN  5.05
SHALON SHALANDA  5.95
SHALA SHAKITA  2.90
SHAKIA SHAE  6.64
SETSUKO SERITA  9.16
SERAFINA SEPTEMBER  6.94
SENAIDA SENA  0.11
SEEMA SEE  0.78
SEASON SAU  3.99
SATURNINA SARAN  7.07
SARAI SANDIE  8.82
SANDEE SANDA  5.97
SANA SAMELLA  6.55
SALLEY SAGE  3.01
SADYE SACHA  2.68
RYANN RUTHE  4.40
RUTHANNE RUTHA  9.59
RUBI ROZANNE  0.14
ROXY ROSY  6.06
ROSSIE ROSSANA  2.17
ROSIO ROSETTE  5.30
ROSENDA ROSENA  4.09
ROSELLE ROSELINE  4.28
ROSELIA ROSELEE  0.02
ROSAMARIA ROLANDE  8.07
ROCHEL ROBENA  5.44
ROBBYN ROBBI  9.15
RIVKA RIVA  3.24
RIMA RICKI  0.11
RICARDA RIA  0.99
RHONA RHEBA  1.47
REYNALDA RESSIE  0.92
RENNA RENDA  1.68
RENAY REMONA  4.82
REMA REITA  9.43
REGINIA REGINE  7.27
REFUGIA REENA  3.26
REBECKA REANNA  5.84
REAGAN REA  2.29
RAYMONDE RANEE  0.15
RAISA RAGUEL  9.85
RAELENE RACHAL  0.36
QUYEN PURA  3.96
PROVIDENCIA PRISCILA  7.43
PORSCHE POK  7.05
PING PHYLICIA  1.86
PHUNG PHEBE  5.38
PETRONILA PEI  1.63
PEG PEARLY  1.72
PAZ PAULITA  9.67
PAULENE PATRIA  0.96
PASTY PARTHENIA  4.87
PAMULA PAMILA  7.01
PALMIRA PA  3.14
OZIE OZELL  9.04
OTELIA ORETHA  5.97
ORALEE ONITA  9.02
ONIE OLINDA  9.17
OLIMPIA OLEVIA  7.45
OLENE ODELIA  1.60
ODA NUBIA  2.38
NU NORIKO  0.26
NOHEMI NOBUKO  1.09
NISHA NIESHA  6.77
NIDA NICHOLLE  8.75
NGUYET NGAN  8.24
NEVADA NERY  4.11
NEOMI NENITA  0.55
NEIDA NEELY  0.05
NEDA NECOLE  8.29
NATISHA NATASHIA  5.94
NATALYA NATACHA  8.53
NANCEY NANCEE  0.05
NAM NAKESHA  7.96
NAIDA NADENE  3.73
NA MYRTA  1.13
MYRL MYESHA  5.28
MUOI MORIAH  1.93
MORA MOON  0.97
MONNIE MONET  5.46
MIYOKO MITZIE  0.84
MITSUKO MITSUE  2.79
MISTIE MISS  3.81
MISHA MIRELLA  9.84
MINTA MING  9.52
MINDA MILLY  3.94
MILDA MIKI  0.03
MIKAELA MIGNON  5.18
MIESHA MICHELINA  1.97
MICHAELE MICHA  0.84
MICA MERTIE  6.74
MERRILEE MERRIE  7.95
MERLYN MERISSA  8.04
MERIDETH MERCEDEZ  1.18
MENDY MELODI  6.88
MELODEE MELITA  3.37
MELIDA MELIA  3.81
MELDA MELANIA  5.71
MELANI MEDA  9.73
MAYOLA MAXIMINA  8.73
MAXIMA MAURITA  7.04
MATHA MARYROSE  2.18
MARYLYNN MARYLOUISE  3.39
MARYLN MARYLAND  6.03
MARYETTA MARYBELLE  7.59
MARYANNA MARX  7.24
MARVIS MARVELLA  5.62
MARTH MARQUITTA  1.01
MARLINE MARKETTA  0.58
MARIVEL MARISHA  7.49
MARIS MARINE  8.81
MARINDA MARIN  8.18
MARIKO MARIETTE  1.61
MARIELLE MARIELLA  0.04
MARICRUZ MARICA  2.27
MARIANELA MARHTA  7.35
MARGY MARGRETT  3.49
MARGHERITA MARGERT  1.69
MARGENE MARG  7.87
MARDELL MARCHELLE  0.98
MARCENE MARCELL  5.30
MARCELENE MARAGRET  0.19
MARAGARET MAO  7.37
MANY MANIE  5.98
MANDIE MALVINA  9.21
MALORIE MALLIE  5.20
MALKA MALENA  0.71
MAKEDA MAISIE  0.56
MAISHA MAIRE  2.85
MAILE MAHALIA  8.30
MAGALI MAFALDA  5.78
MADELENE MADELAINE  7.38
MADDIE MADALENE  1.50
MABELLE LYNNA  2.57
LYNETTA LYNDIA  1.58
LURLENE LUETTA  9.70
LUDIVINA LUCILLA  9.85
LUCI LUBA  9.46
LUANNA LOVETTA  5.04
LOVE LOURIE  0.85
LOURA LOUETTA  6.74
LORRINE LORRIANE  7.84
LORITA LORIS  1.94
LORINA LORILEE  7.25
LORIA LORETTE  8.60
LORETA LOREAN  6.11
LORALEE LONDA  6.43
LOISE LIZZETTE  3.26
LIZETH LISANDRA  1.84
LISABETH LINN  3.65
LINDSY LILLIANA  7.50
LILLIAM LILLIA  4.46
LILLI LIESELOTTE  7.44
LIBBIE LIANNE  1.73
LETISHA LESHA  3.95
LEONTINE LEONIDA  8.99
LEONIA LEOMA  3.53
LENITA LELAH  3.51
LEKISHA LEISHA  6.01
LEIGHA LEIDA  8.04
LEIA LEENA  9.54
LECIA LEANORA  2.83
LEAN LAYNE  4.13
LAVONNA LAVONE  8.21
LAVONA LAVETTE  7.08
LAVETA LAVENIA  3.91
LAVELLE LAURYN  2.48
LAURINDA LAURENA  0.87
LAURAN LAURALEE  2.24
LATRISHA LATOYIA  5.11
LATINA LATARSHA  1.04
LASONYA LASHON  1.34
LASHELL LASHAY  2.42
LASHAWNDA LASHAWNA  1.94
LASHAUNDA LASHAUN  0.31
LASHANDRA LARRAINE  1.64
LARITA LAREE  8.92
LAQUANDA LANORA  2.72
LANNIE LANIE  2.78
LANG LANELLE  0.70
LAMONICA LALA  1.42
LAKITA LAKIESHA  8.68
LAKIA LAKENYA  6.01
LAKENDRA LAKEESHA  2.15
LAJUANA LAINE  8.65
LAHOMA LAEL  4.01
LADAWN LACRESHA  0.19
LACHELLE KYOKO  1.07
KRYSTINA KRYSTIN  7.90
KRYSTEN KRISTLE  3.76
KRISTEEN KRISSY  7.82
KRISHNA KORTNEY  1.98
KLARA KIZZIE  2.10
KIYOKO KITTIE  1.57
KIT KIRSTIE  2.38
KINA KIMI  8.60
KIMBRA KIERSTEN  5.35
KHALILAH KHADIJAH  6.40
KEVA KETURAH  0.08
KERSTIN KEREN  7.86
KERA KENIA  0.97
KENDAL KENDA  3.01
KEMBERLY KELSI  0.14
KEITHA KEIRA  9.08
KEILA KEELEY  6.85
KAYCEE KAYCE  3.09
KATHRIN KATHLINE  1.84
KATHERINA KATHELEEN  8.42
KATHARYN KATERINE  3.28
KATELYNN KATELIN  2.45
KASI KASHA  7.89
KARY KARRY  9.30
KAROLINE KAROLE  7.07
KARLYN KARLY  8.25
KARISA KARIMA  1.25
KARENA KAREEN  6.26
KANISHA KANESHA  0.18
KANDRA KANDIS  8.22
KAMILAH KAMALA  0.77
KALYN KALLIE  7.28
KALEIGH KAILA  0.61
KAI KA  9.55
JUSTA JUNKO  7.45
JUNIE JULIETTA  7.46
JULIEANN JULENE  3.99
JULE JOYA  7.38
JOVAN JOSPHINE  2.02
JOSEFINE JONIE  5.28
JONG JONE  8.56
JOLYN JOLINE  8.00
JOIE JOHNSIE  6.65
JOHNETTE JOHNA  4.22
JOHANNE JOETTE  8.74
JOAQUINA JOANNIE  4.41
JOANE JINNY  8.20
JI JETTA  4.55
JESUSITA JESTINE  6.40
JESSIKA JESSIA  4.57
JERRICA JERLENE  1.36
JERICA JENNINE  9.73
JENNELL JENEVA  6.48
JENEE JENE  6.42
JENAE JEFFIE  9.10
JEANNETTA JEANMARIE  0.58
JEANICE JEANETT  6.09
JEANELLE JAYNA  6.30
JAYMIE JAYE  3.80
JAQUELYN JANYCE  4.61
JANUARY JANNET  8.25
JANISE JANIECE  3.09
JANI JANELLA  8.04
JANEE JANEAN  8.09
JAMIKA JAMEE  7.28
JAMA JALISA  8.62
JAIMEE JACQUIE  6.52
JACQUI JACQUETTA  2.15
JACKQUELINE JACKELYN  9.43
JACINDA JACELYN  7.70
JA IZOLA  1.71
IZETTA IVEY  1.32
IVELISSE ISOBEL  0.74
ISADORA IRAIDA  6.04
ILLA ILEEN  5.65
HYO HWA  6.76
HUE HSIU  1.25
HISAKO HIEN  9.35
HIEDI HERTHA  9.31
HERTA HERMILA  3.20
HERMA HELAINE  7.91
HEIKE HEIDY  8.24
HASSIE HANG  2.95
HAN HALLEY  3.42
GWYNETH GRISEL  0.51
GRICELDA GRAZYNA  3.29
GRAYCE GOLDEN  9.60
GLYNIS GLAYDS  1.42
GIUSEPPINA GITA  5.72
GINETTE GILMA  5.56
GILBERTE GIDGET  1.34
GIANNA GHISLAINE  8.37
GERTUDE GERTRUDIS  9.17
GEORGIANNE GEORGIANN  4.32
GEORGEANNA GEORGEANN  3.06
GEORGANN GENNY  9.13
GENNA GENEVIVE  6.03
GENEVIE GENESIS  2.51
GEMA GAYNELLE  4.61
GALINA GALA  8.64
FRIDA FREDRICKA  9.82
FREDDA FRANSISCA  8.20
FRANCHESCA FRANCENE  2.71
FLORRIE FLORIA  3.15
FLETA FIDELIA  1.19
FIDELA FERNANDE  1.98
FERMINA FELICIDAD  7.89
FAVIOLA FATIMAH  2.55
FAIRY EWA  6.74
EVITA EVIA  0.80
EVELYNN EUSTOLIA  2.59
EUSEBIA EURA  3.97
EUNA EULAH  9.16
EUGENA EUFEMIA  0.21
ETTIE ETSUKO  4.46
ETHA ESTEFANA  1.44
ERYN ENDA  3.79
EMMALINE EMERITA  4.47
EMERALD EMELY  7.98
EMELINE EMELINA  7.06
ELZA ELWANDA  2.35
ELSY ELLI  9.96
ELLENA ELLAN  3.53
ELLAMAE ELIZABET  1.23
ELIZ ELINORE  9.82
ELINA ELIN  2.68
ELIDIA ELFRIEDA  3.56
ELFREDA ELEONORE  8.87
ELEONORA ELEONOR  6.66
ELENORE ELENE  7.42
ELANE ELADIA  0.39
ELA EILENE  8.24
EHTEL EDYTH  7.06
EDRIS EDRA  5.45
EBONIE EARLIE  8.46
DWANA DUSTI  9.45
DULCIE DOTTY  3.51
DORTHEY DORLA  7.55
DORIA DORETTA  4.38
DORETHEA DOREATHA  3.49
DONNETTE DONNETTA  9.54
DONETTE DONELLA  3.44
DOMITILA DOMINICA  9.09
DODIE DIVINA  9.03
DINORAH DIERDRE  2.32
DIA DESPINA  1.34
DEONNA DENYSE  2.87
DENISSE DENAE  9.15
DELSIE DELORSE  4.49
DELORAS DELOISE  1.40
DELMY DELILA  0.39
DELCIE DELAINE  8.92
DEJA DEETTA  4.11
DEEDRA DEEDEE  3.56
DEEANNA DEDE  2.33
DEBERA DEANDREA  4.47
DEADRA DAYSI  1.77
DARLENA DARCEY  7.84
DARCEL DANYELL  2.26
DANYEL DANN  5.16
DANILLE DANIELL  9.59
DALENE DAKOTA  0.02
DAINE DAINA  6.96
DAGNY DACIA  8.61
CYRSTAL CYNDY  3.17
CUC CRYSTLE  4.87
CRYSTA CRIS  3.25
CREOLA CORRINNE  4.07
CORRIN CORDIA  1.55
CORALIE CORALEE  2.41
CONTESSA CONCHA  9.20
CONCEPTION COLLENE  9.88
COLENE CODI  3.82
CLORINDA CLORA  4.04
CLEOTILDE CLEMENCIA  6.72
CLELIA CLAUDIE  3.55
CLASSIE CLARISA  3.98
CLARIS CLARINDA  8.42
CLARETTA CLARETHA  0.37
CIRA CINDIE  8.84
CINDERELLA CHU  5.69
CHRISTINIA CHRISTIA  5.06
CHING CHINA  2.79
CHIEKO CHIA  9.77
CHERY CHERLYN  2.30
CHERILYN CHERELLE  3.68
CHEREE CHERE  6.55
CHER CHASSIDY  6.86
CHASIDY CHARMAIN  5.16
CHARLYN CHARLSIE  1.40
CHARLOTT CHARLESETTA  9.47
CHARLENA CHARITA  6.50
CHARIS CHARA  7.67
CHANTAY CHANELLE  9.48
CHANELL CHAN  0.43
CHAE CEOLA  9.88
CELSA CELINDA  8.08
CELESTA CECILLE  6.81
CAYLA CATRICE  7.73
CATHERYN CATHERN  9.07
CATHERINA CATHERIN  8.15
CASSY CASSONDRA  8.07
CASSI CASSEY  0.15
CASSAUNDRA CASIMIRA  3.40
CARYLON CARRY  8.86
CAROYLN CAROLL  2.84
CAROLIN CAROLA  5.34
CARMINA CARMELIA  2.33
CARLITA CARLI  0.53
CARLENA CARLEE  2.67
CARITA CANDRA  8.85
CAMMY CAMILA  3.06
CAMIE CAMELLIA  7.56
CALISTA CALANDRA  9.31
BURMA BUNNY  4.09
BULAH BULA  3.51
BUENA BRYANNA  6.01
BRUNA BRITTNY  0.74
BRITTENY BRITTANIE  8.91
BRITTANEY BRITTA  3.75
BREANN BREANA  0.19
BRANDE BONG  4.59
BOK BOBETTE  1.01
BLOSSOM BLONDELL  2.49
BILLI BIBI  2.83
BEULA BETTYANN  8.49
BETHANIE BERNARDINE  7.51
BERNARDINA BERNARDA  0.61
BERNA BELL  2.76
BELKIS BEE  2.30
BECKI BEBE  0.28
BEAULAH BEATRIS  8.86
BEATA BASILIA  1.37
BARRIE BARI  2.76
BARABARA BAO  3.44
AZZIE AZALEE  5.41
AYAKO AVRIL  3.10
AURORE AUDRIE  3.46
AUDRIA ASLEY  1.20
ASHLEA ASHANTI  2.71
ARNETTE ARMANDINA  9.94
ARLYNE ARLINDA  8.82
ARLETHA ARLEAN  0.94
ARICA ARIANNE  4.59
ARGENTINA ARGELIA  8.05
ARDELLE ARDELIA  6.12
ARDATH ARA  4.83
APOLONIA ANTONETTA  0.51
ANNITA ANNIKA  1.17
ANNELLE ANNAMARIA  5.28
ANJELICA ANJA  8.10
ANISHA ANISA  2.29
ANGLA ANGILA  3.62
ANGELYN ANDERA  9.21
ANAMARIA ANALISA  6.67
AN AMIRA  1.67
AMIEE AMEE  4.73
AMBERLY AMAL  8.72
ALYSA ALVERTA  8.92
ALONA ALLYN  3.07
ALLENA ALLEEN  4.13
ALITA ALFREDIA  8.81
ALESSANDRA ALESHIA  1.34
ALEISHA ALEEN  3.22
ALEASE ALAYNA  9.64
ALANE ALAINE  7.62
AKILAH AILENE  3.03
AIKO AIDE  0.62
AI AGUEDA  2.14
AGRIPINA AGNUS  2.96
ADRIEN ADENA  6.10
